condition,pathogenic_variant_count
Heimler syndrome 2,183
Charcot-Marie-Tooth disease type 4C,182
Lysinuric protein intolerance,182
Leucine-induced hypoglycemia,182
Neuronal ceroid lipofuscinosis 7,182
Alkaptonuria,182
Familial medullary thyroid carcinoma,182
Pseudohypoaldosteronism type 2C,182
TSC2-related disorder,182
Ataxia-telangiectasia-like disorder,181
"Cardiac arrhythmia, ankyrin-B-related",180
Neuronal ceroid lipofuscinosis 1,180
"Meckel syndrome, type 5",180
Autosomal dominant nonsyndromic hearing loss 17,180
Osteogenesis imperfecta type 8,180
Citrin deficiency,180
Lethal Kniest-like syndrome,179
Salla disease,179
Aortic valve disease 2,179
"Carnitine palmitoyl transferase II deficiency, severe infantile form",179
Aicardi-Goutieres syndrome 5,178
"Intellectual disability, X-linked 102",178
Severe combined immunodeficiency disease,178
Autosomal recessive limb-girdle muscular dystrophy type 2I,178
Congenital myasthenic syndrome 11,178
CDH1-related diffuse gastric and lobular breast cancer syndrome,178
Autosomal dominant familial hematuria-retinal arteriolar tortuosity-contractures syndrome,177
"Severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency",177
Retinitis pigmentosa 40,177
Peroxisome biogenesis disorder 4A (Zellweger),177
Creatine transporter deficiency,177
"Developmental and epileptic encephalopathy, 4",177
Nephronophthisis 15,176
Pigmentary pallidal degeneration,176
Usher syndrome type 1C,176
Mevalonic aciduria,176
Familial hypocalciuric hypercalcemia 1,175
Pigmented paravenous retinochoroidal atrophy,175
Primary familial dilated cardiomyopathy,175
Fanconi anemia complementation group G,175
"Neuronopathy, distal hereditary motor, autosomal recessive 4",174
Hereditary factor XI deficiency disease,174
"Pulmonary hypertension, neonatal, susceptibility to",174
Methylcobalamin deficiency type cblE,173
Danon disease,173
Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1,173
Orofaciodigital syndrome type 6,173
Familial multiple polyposis syndrome,172
von Willebrand disease type 3,172
"Adrenocortical carcinoma, hereditary",172
Severe feeding difficulties-failure to thrive-microcephaly due to ASXL3 deficiency syndrome,172
Childhood hypophosphatasia,172
Congenital adrenal hyperplasia due to cytochrome P450 oxidoreductase deficiency,172
"Proteinuria, chronic benign",171
Congenital factor V deficiency,171
Amyotrophic lateral sclerosis type 5,171
Spermatogenic failure 18,170
Short-rib thoracic dysplasia 6 with or without polydactyly,169
"Congenital dyserythropoietic anemia, type II",169
MPI-congenital disorder of glycosylation,169
Abnormality of the musculature,169
GATA2 deficiency with susceptibility to MDS/AML,169
"Ciliary dyskinesia, primary, 37",168
"Hypercholesterolemia, autosomal dominant, 3",168
Charcot-Marie-Tooth disease axonal type 2X,168
Neonatal-onset encephalopathy with rigidity and seizures,168
Aicardi-Goutieres syndrome 7,167
GRN-related frontotemporal lobar degeneration with Tdp43 inclusions,167
"Xeroderma pigmentosum, group C",167
"Pancreatic cancer, susceptibility to, 4",167
T-B+ severe combined immunodeficiency due to JAK3 deficiency,167
ALG6-congenital disorder of glycosylation 1C,167
Breast carcinoma,167
Congenital myopathy 18,166
Multiple sulfatase deficiency,166
Familial hemiplegic migraine,166
VPS13B-related disorder,166
Autosomal recessive limb-girdle muscular dystrophy type 2E,166
Hereditary fructosuria,166
Cardiac anomalies - developmental delay - facial dysmorphism syndrome,165
Microcephaly,164
"Myopathy, proximal, and ophthalmoplegia",164
"Febrile seizures, familial, 8",164
Mismatch repair cancer syndrome 4,164
Interstitial lung disease due to ABCA3 deficiency,163
Distal myopathy with anterior tibial onset,163
Andersen Tawil syndrome,163
Ornithine aminotransferase deficiency,163
Progressive myoclonic epilepsy,162
"Primary hyperoxaluria, type II",162
Encephalopathy due to GLUT1 deficiency,162
"Osteogenesis imperfecta, perinatal lethal",162
Hemochromatosis type 3,162
Thrombocytopenia 1,162
CEP290-related disorder,162
"Developmental and epileptic encephalopathy, 5",162
Familial prostate cancer,162
Noonan syndrome 4,161
Hereditary thrombocytopenia and hematological cancer predisposition syndrome associated with RUNX1,161
"Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal dominant",161
Acute infantile liver failure due to synthesis defect of mtDNA-encoded proteins,161
Short-rib thoracic dysplasia 14 with polydactyly,161
Acyl-CoA dehydrogenase 9 deficiency,161
Corneal dystrophy-perceptive deafness syndrome,161
"Developmental and epileptic encephalopathy, 54",160
RPGR-related retinopathy,160
Long QT syndrome 3,160
Dilated cardiomyopathy 1S,160
Neuronal ceroid lipofuscinosis 3,160
Cone-rod dystrophy 2,160
Fraser syndrome 2,160
"EPILEPSY, CHILDHOOD ABSENCE, SUSCEPTIBILITY TO, 2",160
Stickler syndrome type 2,159
Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,159
FG syndrome,159
Pyruvate dehydrogenase E3 deficiency,159
Facioscapulohumeral muscular dystrophy 2,159
Retinitis pigmentosa 26,158
"Encephalopathy, acute, infection-induced, susceptibility to, 4",158
Achromatopsia 2,158
Dihydropyrimidine dehydrogenase deficiency,158
Kabuki syndrome 2,158
Dystonia 5,158
Sjögren-Larsson syndrome,158
Peroxisome biogenesis disorder 1B,158
Glycogen storage disease IXb,158
Hereditary spherocytosis type 3,157
Intellectual disability-facial dysmorphism syndrome due to SETD5 haploinsufficiency,157
X-linked severe combined immunodeficiency,157
Ehlers-Danlos syndrome due to tenascin-X deficiency,156
"Sensory ataxic neuropathy, dysarthria, and ophthalmoparesis",156
Wolman disease,156
POLG-related disorder,156
DNA ligase IV deficiency,155
X-linked severe congenital neutropenia,155
11 conditions,155
Hereditary pulmonary alveolar proteinosis,155
Hypertrophic cardiomyopathy 14,155
"Meckel syndrome, type 1",155
Peroxisome biogenesis disorder 3A (Zellweger),155
Myoclonic dystonia 11,155
Perlman syndrome,155
Mismatch repair cancer syndrome 2,155
Dilated cardiomyopathy 1KK,154
"Basal cell carcinoma, susceptibility to, 1",154
Wolfram-like syndrome,154
Familial ovarian cancer,154
Familial hyperinsulinism,153
Essential thrombocythemia,153
"Epilepsy, familial focal, with variable foci 3",153
Melanoma-pancreatic cancer syndrome,153
Cowden syndrome 3,153
"Developmental and epileptic encephalopathy, 13",153
Schwartz-Jampel syndrome,153
Vanishing white matter disease,152
GM1 gangliosidosis type 2,152
Tatton-Brown-Rahman overgrowth syndrome,152
Eichsfeld type congenital muscular dystrophy,152
Loeys-Dietz syndrome 2,152
Pulmonary arterial hypertension,152
ALG1-congenital disorder of glycosylation,151
Familial infantile myasthenia,151
"Neutropenia, severe congenital, 1, autosomal dominant",151
Lowe syndrome,151
"Arterial calcification, generalized, of infancy, 2",151
Hermansky-Pudlak syndrome 1,151
Episodic kinesigenic dyskinesia,151
Dilated cardiomyopathy 1A,151
Charcot-Marie-Tooth disease X-linked dominant 1,151
Autosomal recessive congenital ichthyosis 2,150
Hereditary spastic paraplegia 48,150
Dilated cardiomyopathy 1X,150
Autosomal dominant nonsyndromic hearing loss 65,150
Methylcobalamin deficiency type cblG,150
Primary hyperoxaluria type 3,150
Ullrich congenital muscular dystrophy 1A,149
"Methylmalonic aciduria, cblA type",149
Arginase deficiency,149
McKusick-Kaufman syndrome,149
Senior-Loken syndrome 4,149
Methylmalonic aciduria due to complete methylmalonyl-CoA mutase deficiency,149
Chromosome 2q32-q33 deletion syndrome,149
Facial dysmorphism-immunodeficiency-livedo-short stature syndrome,149
Maturity-onset diabetes of the young type 1,149
"Hemorrhage, intracerebral, susceptibility to",149
Peroxisome biogenesis disorder 9B,148
Leber congenital amaurosis 13,148
Mitochondrial DNA depletion syndrome 1,148
"Glycogen storage disease, type VII",147
Autosomal recessive nonsyndromic hearing loss 18A,147
RPE65-related recessive retinopathy,147
Familial hemophagocytic lymphohistiocytosis 5,147
Familial pancreatic carcinoma,147
Epilepsy,147
King Denborough syndrome,147
Sucrase-isomaltase deficiency,147
Elliptocytosis 2,147
Enhanced S-cone syndrome,147
Prostate cancer,147
Leber congenital amaurosis 7,146
Paragangliomas with sensorineural hearing loss,146
Congenital myasthenic syndrome 9,146
Ataxia-telangiectasia-like disorder 1,146
Dilated cardiomyopathy 1GG,146
Bardet-Biedl syndrome 12,146
Tetralogy of Fallot,146
Upshaw-Schulman syndrome,145
"Citrullinemia, type II, adult-onset",145
"Porokeratosis 3, disseminated superficial actinic type",145
Progressive familial heart block type IB,144
Juvenile retinoschisis,144
Fetal anomalies with a likely genetic cause,144
"Pyropoikilocytosis, hereditary",144
PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome,143
"Xeroderma pigmentosum, group F",143
Regional enteritis,143
Deficiency of adenosine deaminase 2,143
"Nephrotic syndrome, type 2",143
Autism,143
Fanconi anemia complementation group D1,143
Bardet-Biedl syndrome 13,143
Cenani-Lenz syndactyly syndrome,143
Aicardi-Goutieres syndrome 1,142
Mitochondrial DNA depletion syndrome 13,142
Familial adenomatous polyposis 3,142
PLEC-related disorder,141
Hereditary spastic paraplegia 49,141
MYH9-related disorder,141
Charcot-Marie-Tooth disease recessive intermediate C,141
Autosomal recessive nonsyndromic hearing loss 7,141
Thymoma,140
X-linked agammaglobulinemia,140
CREBBP-related disorder,140
Familial spontaneous pneumothorax,140
Autosomal recessive nonsyndromic hearing loss 97,140
Holoprosencephaly 7,139
Lethal congenital glycogen storage disease of heart,139
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A5",139
Cranioectodermal dysplasia 2,139
Symmetrical dyschromatosis of extremities,139
GM1 gangliosidosis type 3,139
"Becker muscular dystrophy, Cardiomyopathy, Duchenne muscular dystrophy, Dystrophin deficiency",139
"Junctional epidermolysis bullosa, non-Herlitz type",139
Thrombocytopenia,139
Complement component 3 deficiency,138
Singleton-Merten syndrome 1,138
PHGDH deficiency,138
Maturity-onset diabetes of the young type 3,138
Congenital muscular dystrophy due to partial LAMA2 deficiency,138
Cranioectodermal dysplasia 1,137
Nephronophthisis 3,137
Axenfeld-Rieger syndrome type 3,137
Fanconi anemia complementation group P,136
Brittle cornea syndrome 1,136
"Trichorhinophalangeal syndrome, type III",136
Mitochondrial DNA depletion syndrome 4b,136
Infantile-onset ascending hereditary spastic paralysis,136
Autosomal recessive retinitis pigmentosa,136
Nephronophthisis 12,135
von Willebrand disease type 1,135
Ichthyosis vulgaris,135
APC-related disorder,135
Deficiency of galactokinase,135
"Acromesomelic dysplasia 1, Maroteaux type",135
"Ehlers-Danlos syndrome, classic type",135
Abnormality of the nervous system,135
Autosomal recessive limb-girdle muscular dystrophy type 2C,134
Combined immunodeficiency due to partial RAG1 deficiency,134
"Thrombophilia, X-linked, due to factor 9 defect",134
Neonatal severe primary hyperparathyroidism,134
X-linked Emery-Dreifuss muscular dystrophy,134
Lethal acantholytic epidermolysis bullosa,133
"Methylmalonic aciduria, cblB type",133
Short stature,133
Beta-D-mannosidosis,133
Short-rib thoracic dysplasia 7 with or without polydactyly,133
Joubert syndrome 21,132
GRACILE syndrome,132
6-Pyruvoyl-tetrahydrobiopterin synthase deficiency,132
Cataract 41,132
Atrial septal defect 7,132
Arrhythmogenic right ventricular dysplasia 5,131
Oculofaciocardiodental syndrome,131
Charcot-Marie-Tooth disease axonal type 2P,131
Short QT syndrome type 3,131
"Hyperammonemia, type III",131
"Hyper-IgE recurrent infection syndrome 1, autosomal dominant",131
Lysosomal acid lipase deficiency,131
Osteogenesis imperfecta type III,131
Tietz syndrome,131
"Carney complex, type 1",131
"Pseudoxanthoma elasticum, forme fruste",131
"Microcephaly 1, primary, autosomal recessive",131
"Epilepsy, familial focal, with variable foci 1",131
"Migraine, familial hemiplegic, 3",131
Charcot-Marie-Tooth disease type 4A,130
Congenital myasthenic syndrome 8,130
Lissencephaly due to LIS1 mutation,130
Abetalipoproteinaemia,130
Deficiency of butyryl-CoA dehydrogenase,129
Peroxisome biogenesis disorder 2B,129
Low phospholipid associated cholelithiasis,129
"Hyperlipoproteinemia, type I",129
Melnick-Fraser syndrome,129
"Febrile seizures, familial, 4",129
"Intellectual disability, X-linked, with or without seizures, ARX-related",128
Lamellar ichthyosis,128
Joubert syndrome with renal defect,128
ALG9 congenital disorder of glycosylation,128
Papillon-Lefèvre syndrome,128
Nephrotic syndrome,128
"Congenital adrenal hypoplasia, X-linked",128
Neuronal ceroid lipofuscinosis 5,128
Cerebrooculofacioskeletal syndrome 1,128
Inherited ovarian cancer (without breast cancer),128
von Willebrand disease type 2,127
Hereditary antithrombin deficiency,127
MSH6-related disorder,127
Thrombophilia due to thrombin defect,127
Mucopolysaccharidosis type 7,127
USH2A-related disorder,127
MYH7-related skeletal myopathy,127
Autosomal dominant nonsyndromic hearing loss 1,127
Immunodeficiency 104,127
"Achondrogenesis, type IA",127
Sulfite oxidase deficiency due to molybdenum cofactor deficiency type A,127
Waardenburg syndrome type 1,127
Myosin storage myopathy,126
Bilateral frontoparietal polymicrogyria,126
"Developmental and epileptic encephalopathy, 26",126
Xanthinuria type II,126
BENTA disease,126
Deficiency of ferroxidase,126
Plasma factor XI deficiency,126
"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4",126
"Carnitine palmitoyl transferase II deficiency, myopathic form",125
"Microcephaly 2, primary, autosomal recessive, with or without cortical malformations",125
Severe combined immunodeficiency due to CARD11 deficiency,125
Autosomal dominant intellectual disability-craniofacial anomalies-cardiac defects syndrome,125
Homozygous familial hypercholesterolemia,125
Fanconi anemia complementation group Q,125
Alpha-1-antitrypsin deficiency,125
Saethre-Chotzen syndrome,125
Mosaic variegated aneuploidy syndrome 1,125
Cyclical neutropenia,125
Glycogen storage disease IXa1,125
RAI1-related disorder,125
Bardet-Biedl syndrome 16,125
"Carnitine palmitoyl transferase II deficiency, neonatal form",125
COACH syndrome 2,124
Senior-Loken syndrome 7,124
Congenital disorder of deglycosylation,124
Bardet-Biedl syndrome 4,124
Jervell and Lange-Nielsen syndrome 1,124
"Thrombophilia due to protein C deficiency, autosomal dominant",124
Asphyxiating thoracic dystrophy 4,124
Lynch-like syndrome,124
"Thrombophilia due to protein S deficiency, autosomal recessive",123
Noonan syndrome 9,123
Methylmalonic acidemia,123
"Pseudohypoaldosteronism, type IB1, autosomal recessive",123
Roberts-SC phocomelia syndrome,122
Pelizaeus-Merzbacher disease,122
Intellectual developmental disorder with autism and macrocephaly,122
GNPTG-mucolipidosis,121
Fanconi anemia complementation group E,121
Charcot-Marie-Tooth disease axonal type 2C,121
"Xeroderma pigmentosum, group D",121
Peroxisome biogenesis disorder 7A (Zellweger),121
Deficiency of aromatic-L-amino-acid decarboxylase,121
"Otospondylomegaepiphyseal dysplasia, autosomal recessive",121
LEOPARD syndrome 1,121
Congenital myasthenic syndrome 5,121
NPHP3-related Meckel-like syndrome,121
Joubert syndrome 1,121
"Peroxisome biogenesis disorder, complementation group 7",121
COACH syndrome 3,120
Generalized juvenile polyposis/juvenile polyposis coli,120
Oculotrichoanal syndrome,120
Cowden syndrome 7,120
Aicardi-Goutieres syndrome 6,120
Retinitis pigmentosa 93,120
Aspartylglucosaminuria,120
GTP cyclohydrolase I deficiency,120
Intellectual disability-severe speech delay-mild dysmorphism syndrome,120
Megalencephalic leukoencephalopathy with subcortical cysts 1,120
Ichthyosis linearis circumflexa,119
"Epilepsy, idiopathic generalized, susceptibility to, 13",119
Hereditary sensory neuropathy-deafness-dementia syndrome,119
Autosomal dominant cerebellar ataxia,119
Gaucher disease type I,119
Age related macular degeneration 4,119
Congenital myasthenic syndrome 4C,119
Sphingolipid activator protein 1 deficiency,119
Paramyotonia congenita of Von Eulenburg,119
Intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome,119
Bernard Soulier syndrome,119
Pick disease,119
Maple syrup urine disease type 1B,118
Microcephaly-intellectual disability-sensorineural hearing loss-epilepsy-abnormal muscle tone syndrome,118
"Blepharophimosis - intellectual disability syndrome, SBBYS type",118
